source;target;weight
2;0;5.0
2;1;1.0
3;0;4.0
3;1;1.0
3;2;62.0
4;2;10.0
4;3;8.0
5;0;6.0
5;1;1.0
5;2;83.0
5;3;70.0
5;4;9.0
6;1;1.0
6;2;11.0
6;3;9.0
6;4;1.0
6;5;7.0
7;2;15.0
7;3;14.0
7;4;1.0
7;5;10.0
7;6;1.0
8;0;5.0
8;1;2.0
8;2;38.0
8;3;37.0
8;4;4.0
8;5;57.0
8;6;4.0
8;7;4.0
9;0;1.0
9;2;13.0
9;3;14.0
9;5;16.0
9;6;2.0
9;7;1.0
9;8;5.0
10;0;8.0
10;1;3.0
10;2;117.0
10;3;98.0
10;4;10.0
10;5;155.0
10;6;16.0
10;7;11.0
10;8;96.0
10;9;20.0
11;0;5.0
11;1;2.0
11;2;74.0
11;3;53.0
11;4;6.0
11;5;89.0
11;6;16.0
11;7;11.0
11;8;49.0
11;9;11.0
11;10;122.0
12;0;4.0
12;2;62.0
12;3;35.0
12;4;11.0
12;5;51.0
12;6;10.0
12;7;10.0
12;8;23.0
12;9;11.0
12;10;65.0
12;11;52.0
13;0;3.0
13;1;2.0
13;2;44.0
13;3;35.0
13;4;8.0
13;5;55.0
13;6;4.0
13;7;6.0
13;8;27.0
13;9;10.0
13;10;65.0
13;11;46.0
13;12;32.0
14;2;4.0
14;3;1.0
14;5;1.0
14;8;2.0
14;9;1.0
14;10;3.0
14;11;1.0
14;12;1.0
14;13;1.0
15;2;3.0
15;3;2.0
15;5;2.0
15;8;1.0
15;10;5.0
15;11;4.0
15;12;2.0
15;13;2.0
16;2;22.0
16;3;20.0
16;4;2.0
16;5;16.0
16;6;6.0
16;7;6.0
16;8;9.0
16;9;5.0
16;10;25.0
16;11;21.0
16;12;21.0
16;13;8.0
17;5;1.0
17;8;2.0
17;10;2.0
18;2;4.0
18;3;6.0
18;5;4.0
18;7;2.0
18;8;1.0
18;10;5.0
18;11;4.0
18;12;3.0
18;13;2.0
18;16;3.0
19;0;1.0
19;2;27.0
19;3;19.0
19;4;4.0
19;5;45.0
19;7;1.0
19;8;19.0
19;9;3.0
19;10;50.0
19;11;26.0
19;12;12.0
19;13;19.0
19;14;1.0
19;15;1.0
19;16;5.0
19;18;1.0
20;0;2.0
20;1;2.0
20;2;64.0
20;3;56.0
20;4;6.0
20;5;112.0
20;6;8.0
20;7;8.0
20;8;56.0
20;9;13.0
20;10;141.0
20;11;71.0
20;12;41.0
20;13;36.0
20;14;2.0
20;15;1.0
20;16;16.0
20;17;2.0
20;18;3.0
20;19;39.0
21;2;1.0
21;3;2.0
21;5;1.0
21;8;1.0
21;10;2.0
21;11;1.0
21;14;1.0
21;19;1.0
21;20;1.0
22;0;7.0
22;1;3.0
22;2;117.0
22;3;73.0
22;4;12.0
22;5;103.0
22;6;17.0
22;7;16.0
22;8;48.0
22;9;16.0
22;10;146.0
22;11;105.0
22;12;70.0
22;13;59.0
22;14;4.0
22;15;3.0
22;16;27.0
22;17;2.0
22;18;5.0
22;19;33.0
22;20;85.0
22;21;1.0
23;2;15.0
23;3;8.0
23;4;1.0
23;5;14.0
23;6;1.0
23;7;7.0
23;8;4.0
23;9;1.0
23;10;14.0
23;11;10.0
23;12;10.0
23;13;5.0
23;15;1.0
23;16;3.0
23;18;1.0
23;19;2.0
23;20;8.0
23;22;14.0
24;0;1.0
24;1;1.0
24;2;13.0
24;3;12.0
24;5;12.0
24;6;1.0
24;7;1.0
24;8;9.0
24;9;1.0
24;10;19.0
24;11;10.0
24;12;9.0
24;13;5.0
24;15;2.0
24;16;4.0
24;18;2.0
24;19;5.0
24;20;12.0
24;22;12.0
24;23;1.0
25;0;4.0
25;1;2.0
25;2;47.0
25;3;37.0
25;4;5.0
25;5;49.0
25;6;6.0
25;7;8.0
25;8;22.0
25;9;7.0
25;10;68.0
25;11;45.0
25;12;37.0
25;13;31.0
25;14;1.0
25;15;2.0
25;16;14.0
25;18;2.0
25;19;15.0
25;20;38.0
25;22;59.0
25;23;6.0
25;24;10.0
26;2;4.0
26;3;4.0
26;4;2.0
26;5;6.0
26;7;1.0
26;8;3.0
26;10;6.0
26;11;3.0
26;12;2.0
26;13;3.0
26;18;1.0
26;19;4.0
26;20;5.0
26;22;5.0
26;23;1.0
26;25;4.0
27;0;4.0
27;1;2.0
27;2;74.0
27;3;54.0
27;4;7.0
27;5;81.0
27;6;8.0
27;7;8.0
27;8;36.0
27;9;12.0
27;10;108.0
27;11;80.0
27;12;50.0
27;13;38.0
27;14;3.0
27;15;2.0
27;16;16.0
27;18;5.0
27;19;25.0
27;20;59.0
27;21;1.0
27;22;96.0
27;23;9.0
27;24;14.0
27;25;48.0
27;26;5.0
28;0;1.0
28;2;3.0
28;3;8.0
28;4;1.0
28;5;7.0
28;6;1.0
28;7;1.0
28;8;3.0
28;10;7.0
28;11;7.0
28;12;3.0
28;13;3.0
28;16;2.0
28;18;1.0
28;19;1.0
28;20;4.0
28;22;6.0
28;24;2.0
28;25;6.0
28;27;9.0
29;2;3.0
29;3;2.0
29;5;4.0
29;7;2.0
29;8;1.0
29;9;2.0
29;10;4.0
29;11;3.0
29;12;3.0
29;13;1.0
29;16;1.0
29;18;1.0
29;20;2.0
29;22;3.0
29;24;2.0
29;25;3.0
29;26;1.0
29;27;3.0
30;0;8.0
30;1;3.0
30;2;90.0
30;3;79.0
30;4;9.0
30;5;136.0
30;6;7.0
30;7;12.0
30;8;72.0
30;9;21.0
30;10;171.0
30;11;91.0
30;12;56.0
30;13;58.0
30;14;2.0
30;15;6.0
30;16;19.0
30;17;2.0
30;18;5.0
30;19;44.0
30;20;107.0
30;21;1.0
30;22;113.0
30;23;15.0
30;24;15.0
30;25;53.0
30;26;4.0
30;27;78.0
30;28;11.0
30;29;4.0
31;1;1.0
31;2;12.0
31;3;3.0
31;4;1.0
31;5;16.0
31;6;1.0
31;7;1.0
31;8;8.0
31;9;2.0
31;10;18.0
31;11;11.0
31;12;9.0
31;13;10.0
31;16;3.0
31;19;10.0
31;20;13.0
31;22;17.0
31;23;2.0
31;24;2.0
31;25;8.0
31;27;6.0
31;30;18.0
